0.9	0.829	0.896	0.188
0.8	0.845	0.888	0.280
0.7	0.855	0.859	0.351
0.6	0.865	0.833	0.424
0.5	0.870	0.785	0.500
0.4	0.869	0.722	0.583
0.3 0.859	0.648	0.682
0.2	0.816	0.535	0.797
0.1	0.674	0.377	0.914
